"";"sub";"item";"cond";"seq";"dependnum";"start";"end";"duration_ms";"correctresp";"subresp";"accuracy"
"310";8;38;1;30;1;2003068;2005681;2613;0;0;1
"311";8;30;1;31;1;2026998;2029331;2333;0;0;1
"312";8;2;1;32;1;2040744;2043381;2637;1;1;1
"313";8;4;3;33;1;2071346;2073812;2466;1;1;1
"314";8;8;3;34;1;2083872;2086539;2667;1;1;1
"315";8;36;3;35;1;2097588;2100736;3148;0;0;1
"316";8;26;1;36;1;2128315;2131303;2988;0;0;1
"317";8;18;1;37;1;2140852;2143093;2241;1;1;1
"318";8;40;3;38;1;2153338;2155398;2060;0;0;1
"319";8;20;3;39;1;2166884;2170501;3617;1;1;1
"320";8;24;3;40;1;2180506;2183009;2503;0;0;1
"321";9;11;3;1;1;3741996;3745081;3085;1;1;1
"322";9;5;1;2;1;3755621;3758405;2784;1;1;1
"323";9;31;3;3;1;3771762;3773980;2218;0;0;1
"324";9;21;1;4;1;3781955;3792288;10333;0;1;0
"325";9;13;1;5;1;3833142;3835702;2560;1;1;1
"326";9;33;1;6;1;3870156;3872043;1887;0;0;1
"327";9;27;3;7;1;3897638;3899655;2017;0;0;1
"328";9;15;3;8;1;3920606;3923383;2777;1;1;1
"329";9;9;1;9;1;3931333;3934074;2741;1;1;1
"330";9;37;1;10;1;4085388;4087736;2348;0;0;1
"331";9;29;1;11;1;4106861;4108880;2019;0;0;1
"332";9;1;1;12;1;4119145;4121651;2506;1;1;1
"333";9;3;3;13;1;4148040;4150916;2876;1;1;1
"334";9;7;3;14;1;4162953;4166165;3212;1;1;1
"335";9;35;3;15;1;4176491;4179315;2824;0;0;1
"336";9;25;1;16;1;4207987;4210123;2136;0;0;1
"337";9;17;1;17;1;4217960;4220080;2120;1;1;1
"338";9;39;3;18;1;4229952;4232538;2586;0;0;1
"339";9;19;3;19;1;4241298;4243746;2448;1;1;1
"340";9;23;3;20;1;4251559;4253537;1978;0;0;1
"341";9;10;2;21;1;4353562;4356001;2439;1;1;1
"342";9;36;4;22;1;4375779;4379567;3788;0;0;1
"343";9;38;2;23;1;4386929;4389241;2312;0;0;1
"344";9;8;4;24;1;4396278;4399515;3237;1;1;1
"345";9;20;4;25;1;4410815;4413056;2241;1;1;1
"346";9;24;4;26;1;4446149;4448473;2324;0;0;1
"347";9;40;4;27;1;4460485;4462586;2101;0;0;1
"348";9;2;2;28;1;4469742;4473680;3938;1;1;1
"349";9;16;4;29;1;4503483;4505962;2479;1;1;1
"350";9;12;4;30;1;4558853;4561884;3031;1;1;1
"351";9;26;2;31;1;4570837;4572942;2105;0;0;1
"352";9;34;2;32;1;4586447;4588984;2537;0;0;1
"353";9;18;2;33;1;4631930;4634408;2478;1;1;1
"354";9;6;2;34;1;4651670;4654157;2487;1;1;1
"355";9;4;4;35;1;4662084;4664273;2189;1;1;1
"356";9;28;4;36;1;4720423;4723123;2700;0;0;1
"357";9;22;2;37;1;4729153;4731966;2813;0;0;1
"358";9;30;2;38;1;4787405;4790371;2966;0;0;1
"359";9;32;4;39;1;4824395;4826787;2392;0;0;1
"360";9;14;2;40;1;4834387;4836387;2000;1;1;1
"361";10;9;2;1;1;6020868;6023422;2554;1;1;1
"362";10;35;4;2;1;6037741;6040126;2385;0;0;1
"363";10;37;2;3;1;6047381;6049902;2521;0;0;1
"364";10;7;4;4;1;6057647;6060103;2456;1;1;1
"365";10;19;4;5;1;6073331;6075617;2286;1;1;1
"366";10;23;4;6;1;6101019;6103000;1981;0;0;1
"367";10;39;4;7;1;6109625;6112306;2681;0;0;1
"368";10;1;2;8;1;6119001;6122057;3056;1;1;1
"369";10;15;4;9;1;6144086;6146381;2295;1;1;1
"370";10;11;4;10;1;6178797;6181472;2675;1;1;1
"371";10;25;2;11;1;6187598;6189984;2386;0;0;1
"372";10;33;2;12;1;6200623;6202687;2064;0;0;1
"373";10;17;2;13;1;6234448;6237275;2827;1;1;1
"374";10;5;2;14;1;6245546;6247785;2239;1;1;1
"375";10;3;4;15;1;6254272;6256811;2539;1;1;1
"376";10;27;4;16;1;6264206;6266515;2309;0;0;1
"377";10;21;2;17;1;6272105;6274402;2297;0;0;1
"378";10;29;2;18;1;6312658;6314784;2126;0;0;1
"379";10;31;4;19;1;6336873;6339249;2376;0;0;1
"380";10;13;2;20;1;6343993;6346390;2397;1;1;1
"381";10;12;1;21;1;6381344;6383636;2292;1;1;1
"382";10;6;3;22;1;6389975;6392039;2064;1;1;1
"383";10;32;1;23;1;6398136;6400423;2287;0;0;1
"384";10;22;3;24;1;6406575;6408703;2128;0;0;1
"385";10;14;3;25;1;6437973;6440488;2515;1;1;1
"386";10;34;3;26;1;6459590;6461809;2219;0;0;1
"387";10;28;1;27;1;6480807;6483212;2405;0;0;1
"388";10;16;1;28;1;6494194;6496810;2616;1;1;1
"389";10;10;3;29;1;6502454;6504710;2256;1;1;1
"390";10;38;3;30;1;6583810;6586081;2271;0;0;1
"391";10;30;3;31;1;6597313;6599298;1985;0;0;1
"392";10;2;3;32;1;6605993;6608811;2818;1;1;1
"393";10;4;1;33;1;6628610;6631045;2435;1;1;1
"394";10;8;1;34;1;6636448;6639333;2885;1;1;1
"395";10;36;1;35;1;6645614;6647615;2001;0;0;1
"396";10;26;3;36;1;6666733;6669689;2956;0;0;1
"397";10;18;3;37;1;6676911;6679186;2275;1;1;1
"398";10;40;1;38;1;6684249;6686062;1813;0;0;1
"399";10;20;1;39;1;6691023;6693085;2062;1;1;1
"400";10;24;1;40;1;6698350;6700427;2077;0;0;1
"401";11;11;1;1;1;9207269;9210596;3327;1;1;1
"402";11;5;3;2;1;9221525;9224440;2915;1;1;1
"403";11;31;1;3;1;9232197;9235510;3313;0;0;1
"404";11;21;3;4;1;9249000;9252097;3097;0;1;0
"405";11;13;3;5;1;9290274;9293129;2855;1;1;1
"406";11;33;3;6;1;9328590;9331389;2799;0;0;1
"407";11;27;1;7;1;9359088;9361551;2463;0;0;1
"408";11;15;1;8;1;9375868;9378887;3019;1;1;1
"409";11;9;3;9;1;9389106;9392793;3687;1;1;1
"410";11;37;3;10;1;9502425;9505561;3136;0;0;1
"411";11;29;3;11;1;9522637;9525674;3037;0;0;1
"412";11;1;3;12;1;9535834;9539195;3361;1;1;1
"413";11;3;1;13;1;9563235;9566296;3061;1;1;1
"414";11;7;1;14;1;9573248;9578126;4878;1;1;1
"415";11;35;1;15;1;9585762;9588341;2579;0;0;1
"416";11;25;3;16;1;9615337;9618184;2847;0;0;1
"417";11;17;3;17;1;9627444;9630521;3077;1;1;1
"418";11;39;1;18;1;9638341;9640834;2493;0;0;1
"419";11;19;1;19;1;9649492;9652322;2830;1;1;1
"420";11;23;1;20;1;9659492;9661857;2365;0;0;1
"421";11;10;4;21;1;9696616;9699581;2965;1;1;1
"422";11;36;2;22;1;9717175;9719767;2592;0;0;1
