"","sub","item","cond","seq","SFIX","EFIX","xPos","yPos","fix_num","fix_dur","sacc_dur","line","word","char_trial","char_line","prevChar","nextChar","prevX","nextX","prevY","prev_max_char_line","regress","wordID","land_pos","sacc_len","outsideText","max_char_line","Rtn_sweep","Rtn_sweep_type","LandStartLet","LandStartVA","undersweep_prob","launchDistLet","launchDistVA","launchSite","launchSiteVA"
"7073",4,89,4,48,10007547,10007749,261.9,599.2,13,202,75,2,14,71,4,NA,3,1298.8,239,519.9,67,0,"bench",0,NA,0,39,1,"undersweep",4,1.52360258492464,1,NA,25.522189342623,NA,-0.659653461647502
"7094",4,31,2,49,10016266,10016503,322.7,611.5,12,237,49,2,12,49,8,39,3,809.2,243.9,588.8,41,0,"already",1,31,0,69,1,"undersweep",8,3.02012984119957,1,31,11.9746794437131,2,1.15193216436952
"7121",4,13,4,50,10028846,10029024,333.6,625.5,18,178,76,2,16,76,9,NA,3,1281.3,237.3,521.6,67,0,"watched",3,NA,0,46,1,"undersweep",9,3.28842173418307,1,NA,23.3266263284828,NA,-0.228909596765737
"7146",4,64,3,51,10042573,10042754,258,587.4,18,181,76,2,12,92,5,87,1,1236.8,207.9,521.1,87,0,"after",5,82,0,66,1,"undersweep",5,1.42760823789385,1,82,24.0921197112155,0,0.177220332979927
"7173",4,80,3,52,10053925,10054076,302.9,578.6,15,151,76,2,20,98,9,NA,3,1290,229.9,523.6,89,0,"the",2,NA,0,57,1,"undersweep",9,2.53277392550478,1,NA,24.2964153728451,NA,-0.541506572994219
"7206",4,44,3,53,10066048,10066382,260.6,613.7,25,334,20,2,18,93,6,8,20,286,432.1,539,87,0,"though",6,2,0,37,1,"accurate",6,1.49160446924771,0,2,0.625193952456961,79,23.5801498603846
"7234",4,68,3,54,10077740,10077883,323.8,586.8,21,143,75,2,20,98,11,NA,5,1268.2,247.6,504.2,87,0,"designed",3,NA,0,46,1,"undersweep",11,3.04720516984929,1,NA,23.2454003425336,NA,-0.595657230293642
"7252",4,70,1,55,10085439,10085637,202.6,596.7,14,198,68,2,9,56,1,NA,10,864.2,313.8,506.9,55,0,"than",1,NA,0,62,1,"accurate",1,0.0639962313538621,0,NA,16.2845794860443,NA,-0.103378527571625
"7288",4,12,3,56,10098629,10098775,342.6,611,21,146,70,2,20,99,12,NA,4,1252.6,244.4,512.8,87,0,"indoors",7,NA,0,46,1,"undersweep",12,3.50994715040798,1,NA,22.3986809738518,NA,-0.211679842170465
"7307",4,6,1,57,10109433,10109613,263.7,579.4,12,180,54,2,10,59,6,51,2,810.8,218.8,518.7,53,0,"because",6,45,0,53,1,"undersweep",6,1.56790766816962,1,45,13.4662839129608,2,0.620271165429742
"7335",4,32,3,58,10123801,10123971,299.5,595.7,18,170,90,2,18,98,9,NA,3,1298.6,226,518,89,0,"the",3,NA,0,46,1,"undersweep",9,2.44908654604203,1,NA,24.5917825944784,NA,-0.753186415164684
"7357",4,22,1,59,10135083,10135353,238.5,588.4,13,270,53,2,13,58,4,48,NA,773.5,198.1,519.1,54,0,"to",0,44,0,36,1,"undersweep",4,0.947636502739883,1,44,13.168455297814,6,1.83373816763951
"7382",4,60,3,60,10148527,10148696,265,569.9,19,169,77,2,16,93,6,NA,2,1263,222.4,506.9,87,0,"solo",0,NA,0,38,1,"undersweep",6,1.59990578384656,1,NA,24.5647072658286,NA,-0.467664767585916
"7400",4,90,1,61,10155708,10155942,254.3,584.7,11,234,61,2,11,59,5,50,2,797.4,214.5,506.7,54,0,"about",5,45,0,53,1,"undersweep",5,1.33653667789028,1,45,13.3678281724164,4,1.2454651178867
"7420",4,66,1,62,10164320,10164899,218.4,613.4,11,579,70,2,11,56,2,52,8,821.9,293,516.4,54,0,"only",2,50,0,66,1,"accurate",2,0.452896406504256,0,50,14.8545098546369,2,0.642423707052233
"7441",4,14,1,63,10173148,10173449,226.9,598.3,12,301,68,2,11,58,3,53,12,835.2,335.2,517.1,55,0,"who",3,50,0,56,1,"accurate",3,0.662114855161113,0,50,14.9726567432901,2,0.6104255913753
"7478",4,76,3,64,10188629,10188784,356.6,589.8,19,155,77,2,6,102,14,NA,3,1260.4,229.1,522.4,88,0,"was",2,NA,0,36,1,"undersweep",14,3.85454224231339,1,NA,22.2460745760079,NA,-0.108301314598846
"7505",4,84,3,65,10200638,10200990,237.7,585.3,22,352,90,2,17,91,4,NA,18,1272.9,411.6,515.7,87,0,"the",1,NA,0,85,1,"accurate",4,0.927945354631002,0,NA,25.4803456528916,NA,-0.711342725433317
"7526",4,56,3,66,10211625,10211877,228.4,607.2,12,252,85,2,14,90,3,NA,15,1269.6,375.4,510.2,87,0,"pulled",3,NA,0,35,1,"accurate",3,0.699035757865264,0,NA,25.6280292637082,NA,-0.630116739484179
"7549",4,34,1,67,10228650,10228896,231.1,601.1,15,246,55,2,10,57,3,51,14,800.3,355.6,520.9,54,0,"who",3,48,0,55,1,"accurate",3,0.765493382732736,0,48,14.0102518794686,3,1.17408470599201
"7589",4,82,1,68,10245745,10246056,225.8,581.9,13,311,66,2,11,57,3,52,12,821,338.7,500.4,54,0,"come",0,49,0,42,1,"accurate",3,0.635039526511402,0,49,14.6502141930072,2,0.664576248674723
"7607",4,94,1,69,10253429,10253773,205.6,596.7,13,344,65,2,12,55,1,50,15,787.8,377,523.5,54,0,"of",1,49,0,50,1,"accurate",1,0.137838036762165,0,49,14.3302330362379,4,1.48175889519327
"7645",4,28,3,70,10269236,10269683,272,601.5,23,447,89,2,17,96,7,NA,35,1300.6,619,507.5,89,0,"overseas,",7,NA,0,70,1,"accurate",7,1.77220332979926,0,NA,25.3178936809933,NA,-0.802414285436885
"7683",4,92,3,71,10285070,10285180,338.4,617.1,24,110,84,2,18,101,12,88,3,1251.7,233.1,518.6,89,0,"patient's",8,76,0,51,1,"undersweep",12,3.40656862283636,1,76,22.4799069598009,1,0.401207142718443
"7709",4,16,3,72,10295072,10295309,239,582.9,17,237,88,2,18,92,4,NA,21,1276.9,447.2,515.2,88,0,"probably",0,NA,0,75,1,"accurate",4,0.959943470307933,0,NA,25.5468032777591,NA,-0.51443124434451
"7729",4,10,1,73,10309943,10310264,253.6,608.4,12,321,64,2,13,60,5,54,15,840.5,370.8,524,55,0,"the",0,49,0,45,1,"accurate",5,1.31930692329501,0,49,14.4459185313776,1,0.479971735153967
"7754",4,96,3,74,10354332,10354494,316.1,614.6,18,162,70,2,16,97,10,NA,3,1260.6,230.1,506.8,87,0,"customers",3,NA,0,45,1,"undersweep",10,2.85767786930131,1,NA,23.2478617360472,NA,-0.408591323259272
"7782",4,58,1,75,10368155,10368369,264.1,605.3,19,214,51,2,11,59,6,52,2,823,219.6,500.7,53,0,"look",1,46,0,45,1,"undersweep",6,1.57775324222406,1,46,13.7567283475668,1,0.319981156769311
"7799",4,42,1,76,10375339,10375694,256.7,620.6,12,355,62,2,12,58,5,NA,15,837.4,376.7,519.3,53,0,"arrived",5,NA,0,41,1,"accurate",5,1.39561012221692,0,NA,14.2933121335338,NA,-0.0344595091905406
"7817",4,50,1,77,10384196,10384381,250.5,613.4,13,185,56,2,12,60,5,55,1,849.3,203.7,516.7,55,0,"in",0,50,0,59,1,"undersweep",5,1.24300372437309,1,50,14.7388243594972,0,0.26336910595628
"7835",4,74,1,78,10392899,10393231,186.1,611.8,11,332,68,2,NA,NA,NA,52,9,817.1,304.7,505.9,53,NA,NA,NA,NA,1,54,1,"accurate",NA,-0.342133698391802,0,NA,15.5313930708796,1,0.465203374072305
"7852",4,62,1,79,10399623,10399885,242.2,597.6,11,262,64,2,10,57,4,50,14,797.3,356.4,510.1,53,0,"when",4,46,0,37,1,"accurate",4,1.03870806274346,0,46,13.6631953940496,3,0.952559289767104
"7870",4,98,1,80,10408392,10408633,229.3,618.7,14,241,56,2,11,58,3,53,14,834,363.2,510,55,0,"playing",3,50,0,36,1,"accurate",3,0.721188299487755,0,50,14.8840465768002,2,0.639962313538622
"7883",4,54,1,81,10417342,10417707,190.1,603.8,8,365,67,2,NA,NA,NA,48,9,773.8,302,501.7,55,NA,NA,NA,NA,1,42,1,"accurate",NA,-0.243677957847399,0,NA,14.3671539389421,7,2.12172120873189
"7902",4,100,3,82,10460302,10460465,278.3,609.9,13,163,76,2,18,96,7,NA,3,1277.5,225,520.4,89,0,"one",0,NA,0,52,1,"undersweep",7,1.9272711211567,1,NA,24.594243987992,NA,-0.233832383792958
"7927",4,52,3,83,10474059,10474225,294.6,609.8,18,166,85,2,17,96,8,NA,4,1300.1,236,519.9,88,0,"commotion",1,NA,0,68,1,"undersweep",8,2.32847826387514,1,NA,24.7493117793494,NA,-1.08547453950205
"7953",4,86,1,84,10484296,10484839,255.7,597,14,543,61,2,12,58,5,53,21,825.4,440.8,514.4,53,0,"stars",1,48,0,43,1,"accurate",5,1.37099618708082,0,48,14.0225588470367,0,0.26090771244267
"7981",4,38,1,85,10496222,10496614,242.8,598.7,12,392,67,2,13,59,4,54,21,843.9,447.3,515.6,55,0,"the",1,50,0,49,1,"accurate",4,1.05347642382512,0,50,14.7954364103102,1,0.396284355691224
"8002",4,88,3,86,10508750,10508892,323.4,582.6,17,142,76,2,20,100,11,NA,5,1307.9,252.5,521.6,89,0,"the",1,NA,0,56,1,"undersweep",11,3.03735959579484,1,NA,24.2324191414913,NA,-0.982096011930426
"8016",4,30,1,87,10516823,10517022,243.7,604.7,6,199,36,2,12,59,4,22,27,460.5,518.3,532.9,55,0,"during",4,18,0,40,1,"accurate",4,1.07562896544761,0,18,5.33630113750666,33,9.83326708687229
"8047",4,2,1,88,10568255,10568452,256.3,621.3,11,197,53,2,12,58,5,53,2,833.4,214.9,532.2,53,0,"was",1,48,0,42,1,"undersweep",5,1.38576454816248,1,48,14.2047019670438,0,0.0639962313538628
